,wid,price,designation,variety,region_1,region_2,province,country,winery,clean,cleaned,encoded
3732,3733,21.0,Steirische Klassik,Gelber Muskateller,,,,,Neumeister, lively whiff  white blossom muscat grapes  lemon enticingly streaks  nose  flavors continue   featherlight  dry palate  fresh acidity makes  shine even brighter  wine    expressing   delicious dry  totally aromatic lightness refreshing  made  summer    irresistible lemon finish,streak featherlight dry bright dry aromatic irresistible,"0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
3733,3734,85.0,Estate The Contender In the Rocks Vineyard,Syrah,Walla Walla Valley (WA),Columbia Valley,Washington,US,Reynvaan Family Vineyards,blended  6 marsanne  aromas  light considering  appellation  producer bringing notes  herb smoked meat white pepper mineral  earth  flavors  tart  bright creating  real sense  freshness  vibrancy,blended marsanne bright real,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
3734,3735,55.0,Esprit de Tablas Grown and Bottled on the Estate Mourvèdre-Grenache-Syrah-Counoise,Rhône-style Red Blend,Adelaida District,Central Coast,California,US,Tablas Creek, elegantly integrated darkredcherry component distinguishes  nose   blend  40 mourvèdre 35 grenache 20 syrah  5 counoise  hints  sagebrush  baking spice  foodfriendly palate combines darkberry flavors  dried herbs graphite  light sarsaparilla  wellintegrated acidity   silky yet firm texture,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3735,3736,24.0,Terrassen Federspiel,Riesling,,,Wachau,Austria,Tegernseerhof, touch  lemon zest  hint  lime  suspicion  yeast  nose   wine  fresh  restrained light  juicy  body ripples  refreshing ease across  tongue   slender pure  uplifting wine  zestiness  enduring almostweightless freshness,light juicy refreshing slender pure,"0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0"
3736,3737,20.0,Vin Gris d'Amour,Rosé,Sierra Foothills,Sierra Foothills,California,US,Terre Rouge,pretty  pink  lightbodied  nervy wine brims  white raspberry  pomegranate flavors   texture   crisp  mouthcleansing  balance  fruitiness  acidity  precise  appetizing   pays  sip  sip   made  grenache mourvèdre roussanne  grenache blanc,pink nervy crisp precise,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3737,3738,45.0,Saveria Vineyard,Pinot Noir,Santa Cruz Mountains,Central Coast,California,US,Tessier Winery,   great example   lower alcohol somewhat underripe pinot noir  shows solid depth  lovable freshness lively aromas  blackraspberry sorbet  dark strawberry show   nose   palate picks   tart cranberry character white pepper thyme  juniper enliven  fruity flavors,low solid depth lovable dark tart,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
3738,3739,35.0,McGah Vineyard,Rosé,Rutherford,Napa,California,US,Kale,  eastern side   napa valley  combines 84 grenache  16 mourvèdre harvesting  best clusters   grapes specifically   light dry wine  juice  left  ferment  rest  concrete egg  neutral french oak lightcopper  color  perfumed  jasmine  accents  white peach lime  strawberry light  ethereal   backbone  focused acidity,eastern good dry ferment concrete neutral french light ethereal,"0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
3739,3740,24.0,Bel Air,Rhône-style Red Blend,,,Rhône Valley,France,L'Amandine, fading  bit   rim    treat  know  mature releases like     market age  mellowed  tannins  silky smoothness   aromas  flavors resemble thyme blossoms cherries  leather hints  herbal tea  mocha linger elegantly   finish drink now2022,mature silky smoothness herbal,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
3740,3741,80.0,Grand Cru Brut,Champagne Blend,Champagne,,Champagne,France,Pommery, fine vintage  shows  age   relatively fastmaturing year   now nicely poised   initial fresh green fruits  grapefruit flavors   elements  toast  yeast   developing well    great food wine   weight  ripeness,vintage fastmaturing initial green well,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
3741,3742,25.0,Gemini White Wine,Bordeaux-style White Blend,Napa Valley,Napa,California,US,Volker Eisele Family Estate, chiles valley  blend  71 semillon  29 sauvignon blanc  one   best wines   type   vintage cofermented  barrel aged  15 new french oak  shows extraordinary richness  savory flavors  green  yellow tree fruits green tea cashew asian spices  gingery vanilla  even   dusty tannins  make  grip  structure  finish  absolutely dry,good extraordinary richness savory green yellow green dusty dry,"0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
3742,3743,,Aszú 6 Puttonyos,Tokaji,,,Tokaj,Hungary,Szepsy,though  dessert wine  already excellent  quite exciting  imagine  good      delicate flavors mingle  time made   szepsy family whose roots go centuries perhaps 1000 years deep  hungary  wine starts   dense slightly musky  floral nose   tongue apricot honey  spice mingle   rich opulent union buoyed   sparkling acidity  keeps  wine light  pretty,excellent exciting delicate szepsy deep dense musky floral rich opulent,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
3743,3744,50.0,Campoleone,Red Blend,Umbria,,Central Italy,Italy,Lamborghini, best word  describe  impressive sangiovesemerlot blend  umbria  healthy    vibrant ruby red color  delivers absolutely immaculate aromas  succulent cherry violet balsamic notes earth  root beer  imparts soft silky tannins bright acidity  ends    carefully caressed  taste bud,good impressive umbria healthy vibrant red soft silky bright,"0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0"
3744,3745,50.0,Marina Cvetic,Trebbiano,Trebbiano d'Abruzzo,,Central Italy,Italy,Masciarelli, wine brings  trebbiano grape   whole new level  sophistication youll get stone fruit melon  apricot  youll also  rewarded  radically unique aromas  melted butter brown sugar  crunchy crème caramel  texture  smooth  firm   wines persistency can  counted  minutes,whole unique brown crunchy smooth,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
3745,3746,65.0,Il Bosco,"Corvina, Rondinella, Molinara",Amarone della Valpolicella,,Veneto,Italy,Cesari,cesari hits   right marks   singlevineyard wine  presents  gorgeous proudly modern wine  soft plush notes  chocolate vanilla coffee smoked ham  natural rubber   chewy  firm   mouth  ends   fresh note leaving  palate glossed  clean,right present gorgeous modern soft plush natural,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3746,3747,64.0,Fleuron Premier Cru Blanc de Blancs Brut,Chardonnay,Champagne,,Champagne,France,Pierre Gimonnet et Fils, recently released 2002  still showing  youth   firm mineral edge        right refreshingly crisp character along  intense fruits  acidity  just powers right  wait 34 years,crisp intense,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3747,3748,,Terre di Cariano,"Corvina, Rondinella, Molinara",Amarone della Valpolicella Classico,,Veneto,Italy,Cecilia Beretta, exciting achievement  select cru throbs  powerful intensity  complexity awarding  long list  adjectives  describe  aromatic qualities black cherry  cherry liquor leather cola milk chocolate  almond berry  bramble flavors make  mouthfeel lively  sophisticated    delicate segue  chewytart tannins   spice driven finale,exciting select powerful adjective aromatic black bramble sophisticated delicate,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3748,3749,95.0,Pegrandi,"Corvina, Rondinella, Molinara",Amarone della Valpolicella Classico,,Veneto,Italy,Vaona,gorgeous color  concentration  brilliant ruby highlights make   beautiful wine  contemplate   glass  aromas  broad  farreaching   high mineral component small berry fruit spice   distinct soapylavender element chewy firm  succulent   mouthwatering bruiser  leaves  lasting imprint   palate  60 cases made,gorgeous brilliant beautiful broad high small distinct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3749,3750,28.0,Zuc di Volpe,Pinot Bianco,Colli Orientali del Friuli,,Northeastern Italy,Italy,Volpe Pasini,solid luscious  silky smooth  white wine   northern friuli region  one    beautiful expressions   pinot bianco grape youll find stone fruit  nutty tones  rich  penetrating  backed   fruit  white flowers half  wine sees four months  oak  shape  creamy consistency  heightened complexity,solid luscious silky smooth white northern beautiful nutty rich white,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1"
3750,3751,16.0,Stillwater Creek Vineyard,Sémillon,Columbia Valley (WA),Columbia Valley,Washington,US,Novelty Hill,  just  perfect sémillon  gorgeous fruit   flesh  breadth  flavors suggesting ripe fig melon  citrus  use  oak  judicious  thoughtful  adds grace notes without dominating  cant help  wonder   grape remains   novelty except ironically  novelty hill  seductive delicious  unique,perfect gorgeous ripe judicious thoughtful novelty unique,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3751,3752,42.0,Reserve,Cabernet Sauvignon,Yakima Valley,Columbia Valley,Washington,US,Stevens,dark  dense yet somehow soft  approachable  100    loaded  rich black fruits everything   balance   captivating tension strung   fruit acid  tannins    wine  cant keep  lips ,dark dense soft approachable loaded rich black,"1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
3752,3753,62.0,Le Vigne di Turano,"Corvina, Rondinella, Molinara",Amarone della Valpolicella,,Veneto,Italy,Tenuta i Saltari, sartori family  behind  wonderful vineyard select wine  deep concentration  intense aromatic  savory plum cherry natural rubber almond nut  mineral shadings  wine  wellrounded   mouth  fresh acidity   back  dusty mineral flavors   finish,wonderful select deep intense aromatic savory natural wellrounded dusty,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3753,3754,13.0,Old Vine,Zinfandel,California,California Other,California,US,Baron Herzog,smells  little hot  rubbery  stewedprune tomato spice  earth notes smooth  ripe  plenty  nice fruit  rough rustic character comes    finish,hot ripe nice rough rustic,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3754,3755,18.0,Burnee Hill Vineyard Blanc de,Champagne Blend,Mendocino County,,California,US,Jepson, simple fruity wine   long way  real champagne despite  presence   word   label theres  touch  sweetness   flavors  baked apples lead   somewhat clumsy finish,simple real clumsy,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3755,3756,8.0,Sparkling Brut,Champagne Blend,Idaho,,Idaho,US,Ste. Chapelle,delicate floral aromas mark  slighty sweet bubbly  flavors  typically riesling including green apple honeysuckle  apricot  backed  good acidity  finish  clean   little sugary,delicate floral sweet green sugary,"0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
3756,3757,16.0,Barrel Select,Pinot Noir,Umpqua Valley,Southern Oregon,Oregon,US,Girardet,rather sharp  dominated  piquant cranberry  field aromas light  color  lean redfruit flavors  little green  heavily oakedthe dill  pickle   wood show boldly   good characteristics  theyre just  hard  get    hotter reaches  southern oregon,sharp piquant cranberry lean green characteristic hard hotter southern,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
3757,3758,9.0,Home Ranch,Zinfandel,California,California Other,California,US,Fetzer,ripe briary aromas  wild berries plums  earth veer  dark chocolate flavors    light side  seem  little soft  affordable everyday wine  serve  picnics dont  misled   home ranch description     estate wine,ripe briary dark soft affordable everyday,"0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
3758,3759,14.0,Estate Bottled,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Hauer of the Dauen, green manure notes   general barnyard aromas provide aromatic interest  cant make   excessively tart cherry fruit   oddly cloying finish,general aromatic tart,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3759,3760,7.0,Barefoot Bubbly,Champagne Blend,California,California Other,California,US,Barefoot Cellars,   semisweet wine marked  spearmint  rhubarb aromas  clean fruity flavors  acidity  okay   well made doesnt  much  common  champagne    like   barefoot cellars,common,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3760,3761,13.0,Rouge,Champagne Blend,Sonoma County,Sonoma,California,US,Korbel, isnt  rosé  much  dark    deeply colored  pinot noir oddly theres  much fruit  either  aroma   flavor     earthy watery quality   try  can imagine strawberries    stretch  odd wine   dry    decent acidity,dark colored much earthy watery odd dry decent,"0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0"
3761,3762,14.0,Eco Wine Cattrall Brothers,Pinot Noir,Oregon,Oregon Other,Oregon,US,Amity,   allergic  sulfites  insist  certified organic wines  one fits  bill unfortunately  heavy   grapejuice characteristic  sharp acids running  show dense  chewy  theres  odd grapefruit note   end,allergic organic fit heavy characteristic sharp dense odd,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
3762,3763,14.0,Estate Bottled,Viognier,Dunnigan Hills,Central Valley,California,US,R.H. Phillips,ripe  solid    thoroughly enjoyable california example   rhône varietal  wine presents  enticing bouquet  tropical fruits floral scents vanilla even  hint  banana  palate  medium weight  citrus   vanilla flavors closes nicely  light spice  toasty accents,ripe solid enjoyable varietal present tropical floral medium light,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
3763,3764,55.0,Basket Press Reserve,Syrah,Walla Walla Valley (WA),Columbia Valley,Washington,US,Glen Fiona,75 syrah  25 cinsault   oldest continually cultivated vinifera vineyard   walla walla valley  spicy intensely aromatic nose mixes black cherry concentrated cassis coffee bacon leather  roasted nuts  unfolds  layer upon layer  rich fruit tannin leather  smoke dense deep  rhônelike  finishes   montage  meaty peppery baconsmoke flavors,aromatic black rich dense deep rhonelike,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
3764,3765,25.0,Ice Wine,Black Muscat,Yakima Valley,Columbia Valley,Washington,US,Hyatt,  pleasant surprise awaits    delectable decadent  downright delicious fabulous mango lime  peach aromas parade upward  advance  vivid nectarine  pink grapefruit flavors  charmer  features perfect vitality  acidity  almost  easy  drink  enjoy,pleasant delectable decadent fabulous upward advance vivid pink perfect easy,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3765,3766,85.0,Les Blanchots,Chardonnay,Chablis,,Burgundy,France,Domaine Laroche, light mango pineapple  banana aromas  joined  flowers  minerals nutty notes  brought   fore   dry  stony palate finishes broad  long  echos   floral  mineral notes   nose now  pretty tight best  2002  beyond,nutty dry broad,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3766,3767,45.0,Red Mountain Reserve,Cabernet Sauvignon-Merlot,Columbia Valley (WA),Columbia Valley,Washington,US,Hedges, twothirds cabernet sauvignon onethird merlot blend    winerys prestige cuvée lushly perfumed  blueberry black cherry  red fruits  hightoned  assertive  serious effort   still tight   drum tannic  deeply streaked  black spices smoke tar  coffee,blueberry black red assertive serious tannic black,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0"
3767,3768,23.0,Pepper Bridge,Sangiovese,Walla Walla Valley (WA),Columbia Valley,Washington,US,Andrew Will,darker   closedup   ciel du cheval bottling    mediumbodied red wine  dusty cherry  cassis scents  hints  tar coffee herb  leather  muscular  edgy  tons  potential,dark mediumbodied red dusty muscular edgy,"0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0"
3768,3769,52.0,Series,Zinfandel,Temecula,South Coast,California,US,Lorenzi Estate, patiently aged wine delivers  dynamic  rich nose  aromas  plums cassis cola dr pepper chocolate syrup  wellspiced german chocolate cake  ripe elements  tamed   tart  lively palate  shows sour plum skins alongside star anise beef blood  dank herbs,aged dynamic rich german ripe sour anise,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3769,3770,24.0,Juliard Vineyard Old Vine,Riesling,Dundee Hills,Willamette Valley,Oregon,US,Lundeen,  compelling intensity   extra dimensions  vines   four decades old can offer  concentrated apple  pear fruit  pure deep  lingering  wine  finished  dry,compelling extra old pure deep dry,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3770,3771,27.0,Kiler Grove Vineyard,Ugni Blanc,Paso Robles Willow Creek District,Central Coast,California,US,Paix Sur Terre, rarely explored grape also known  trebbiano proves quite exciting   bottling aromas recall ripe lime flesh white flowers green apples asian pears  white peach   nearly tropical banana sap character  palate tightens around  limey acidity showing  ripe red apple  remaining bright ready  pair  everything  roast chicken  shellfish,exciting ripe tropical ripe red bright,"0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0"
3771,3772,80.0,Reserve,Cabernet Sauvignon,Napa Valley,Napa,California,US,Amici,floral  lush  majority cabernet sauvignon contains 10 merlot  6 petit verdot combining   structured layered wine accented  black cherry cedar  dried herb  vineyards strewn across  napa valley including mountainside sites  offers power  finesse   sit well  cellar  2022,floral lush merlot petit structured layered black cellar,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3772,3773,55.0,The Ringneck,Pinot Noir,Sonoma Coast,Sonoma,California,US,Armanino Family Cellars,juicy  bigbodied    balanced expression  earthy black cherry  wellhoned structure soft  lush   palate itll appeal  fans  like  bit  meat   pinot bones yet appreciate  fine texture   tannins,balanced earthy black soft lush,"1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
3773,3774,45.0,Reserve,Chardonnay,Chehalem Mountains,Willamette Valley,Oregon,US,Blakeslee,rich  fruity  reserve adds layers  spice  citrus   peachy core   regular bottling details  rind put  frame   fruit   lightly toasty finish brings  lingering note  banana along   ride,rich peachy regular,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
